case,K,N,CFL,Log10_Rho_rms,Log10_Rhou_rms,Log10_e_rms,Log10_rho_max,Log10_rhou_max,Log10_e_max
VAL_DFR_LAX_N=2:K=100, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -1.7700, -1.7777, -1.4630, MaxErr: Rho, RhoU, E = -1.0489, -1.0191, -0.6086
VAL_DFR_LAX_N=2:K=200, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -1.9807, -1.9628, -1.6499, MaxErr: Rho, RhoU, E = -1.0264, -1.0429, -0.6260
VAL_DFR_LAX_N=2:K=400, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.1711, -2.1143, -1.8085, MaxErr: Rho, RhoU, E = -1.0398, -0.9424, -0.5317
VAL_DFR_LAX_N=2:K=800, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.3321, -2.2990, -2.0374, MaxErr: Rho, RhoU, E = -1.0359, -1.0200, -0.6215
VAL_DFR_LAX_N=2:K=1600, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.4639, -2.4344, -2.1841, MaxErr: Rho, RhoU, E = -1.0497, -0.8995, -0.4990
VAL_DFR_LAX_N=2:K=3200, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.5927, -2.5712, -2.3627, MaxErr: Rho, RhoU, E = -1.0304, -1.0085, -0.5995
VAL_DFR_LAX_N=2:K=6400, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.6851, -2.6751, -2.5038, MaxErr: Rho, RhoU, E = -1.0049, -0.8850, -0.4868
VAL_DFR_LAX_N=2:K=12800, N=2, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.7828, -2.7657, -2.5739, MaxErr: Rho, RhoU, E = -1.0057, -0.8828, -0.4590
VAL_DFR_LAX_N=3:K=100, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -1.7018, -1.7044, -1.3489, MaxErr: Rho, RhoU, E = -1.0495, -0.8951, -0.5045
VAL_DFR_LAX_N=3:K=200, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -1.9337, -1.9177, -1.5502, MaxErr: Rho, RhoU, E = -1.1062, -0.9406, -0.5439
VAL_DFR_LAX_N=3:K=400, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.1099, -2.0796, -1.7602, MaxErr: Rho, RhoU, E = -0.9695, -0.9545, -0.5560
VAL_DFR_LAX_N=3:K=800, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.2658, -2.2425, -1.9481, MaxErr: Rho, RhoU, E = -0.9618, -0.9051, -0.5120
VAL_DFR_LAX_N=3:K=1600, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.4317, -2.3912, -2.1445, MaxErr: Rho, RhoU, E = -0.9485, -0.9754, -0.6109
VAL_DFR_LAX_N=3:K=3200, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.5700, -2.5208, -2.2538, MaxErr: Rho, RhoU, E = -0.9251, -0.8733, -0.4746
VAL_DFR_LAX_N=3:K=6400, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.7364, -2.6953, -2.4748, MaxErr: Rho, RhoU, E = -0.9625, -0.9883, -0.6152
VAL_DFR_LAX_N=3:K=12800, N=3, CFL=1, RMS Errors: Log10 Rho, RhoU, E Error = -2.8472, -2.8057, -2.5765, MaxErr: Rho, RhoU, E = -0.9452, -0.9282, -0.5311
