case,K,N,CFL,Log10_Rho_rms,Log10_Rhou_rms,Log10_e_rms,Log10_rho_max,Log10_rhou_max,Log10_e_max
"VAL_DFR_ROE",100,2,1,-1.6136,-1.5862,-1.1871,-0.8071,-0.8370,-0.4149
"VAL_DFR_ROE",200,2,1,-1.7415,-1.6349,-1.2388,-0.8276,-0.8483,-0.4095
"VAL_DFR_ROE",400,2,1,-1.8499,-1.7056,-1.3139,-0.8601,-0.7841,-0.3570
"VAL_DFR_ROE",800,2,1,-1.9894,-1.8168,-1.4058,-0.8910,-0.7333,-0.3106
"VAL_DFR_ROE",1600,2,1,-2.0859,-1.7900,-1.3244,-0.8990,-0.6784,-0.2303
"VAL_DFR_ROE",3200,2,1,-2.2285,-2.0039,-1.5954,-0.8975,-0.6991,-0.2734
"VAL_DFR_ROE",6400,2,1,-2.3260,-2.0590,-1.6108,-0.8501,-0.6537,-0.2475
"VAL_DFR_ROE",12800,2,1,-2.5016,-2.3327,-1.9358,-0.8226,-0.6613,-0.2447
"VAL_DFR_ROE",100,3,1,-1.6243,-1.6313,-1.2076,-0.9140,-0.8657,-0.4415
"VAL_DFR_ROE",200,3,1,-1.8072,-1.7925,-1.3942,-0.8954,-0.8567,-0.4416
"VAL_DFR_ROE",400,3,1,-1.9713,-1.9440,-1.5896,-0.8827,-0.8690,-0.4469
"VAL_DFR_ROE",800,3,1,-2.1353,-2.0888,-1.7459,-0.8958,-0.8287,-0.4094
"VAL_DFR_ROE",1600,3,1,-2.2870,-2.2559,-1.9490,-0.8754,-0.9053,-0.4592
"VAL_DFR_ROE",3200,3,1,-2.4426,-2.3944,-2.0830,-0.8677,-0.8337,-0.4169
"VAL_DFR_ROE",6400,3,1,-2.5874,-2.5399,-2.2597,-0.8693,-0.8691,-0.3971
"VAL_DFR_ROE",12800,3,1,-2.6770,-2.6494,-2.4311,-0.8437,-0.8638,-0.4140
